chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.0475	-12.18567	-3.7262	8.7616	-4.22974	-6.14319
0.048	-4.12903	3.52478	4.12903	-5.84106	-8.66089
0.0485	-2.11487	-7.25098	3.22266	-3.92761	-1.71204
0.049	0.90637	-6.74744	0.20142	2.71912	-7.15027
0.0495	-0.80566	-7.35168	-1.51062	3.8269	-2.5177
0.05	-11.2793	-2.81982	-3.7262	3.52478	0.90637
0.0505	-11.48071	-10.17151	1.00708	-10.27222	1.91345
0.051	-10.0708	2.5177	2.11487	-12.89062	-3.32336
0.0515	-7.45239	-6.04248	4.63257	4.12903	-15.1062
0.052	-6.94885	-4.33044	3.62549	10.0708	-8.35876
0.0525	-7.85522	-7.15027	-6.44531	-0.20142	2.61841
0.053	-7.5531	-1.10779	-6.84814	1.51062	5.43823
0.0535	-5.33752	0.70496	3.8269	-11.17859	-0.10071
0.054	-7.35168	-4.33044	-4.63257	-2.5177	-5.33752
0.0545	1.51062	-2.31628	-12.38708	-3.7262	-4.83398
0.055	-6.94885	-11.98425	-14.19983	1.71204	12.28638
0.0555	-8.35876	-6.74744	-0.90637	-8.7616	-0.70496
0.056	-1.91345	-1.10779	7.65381	8.15735	-2.81982
0.0565	-6.84814	0.80566	10.17151	1.71204	-1.61133
0.057	-8.15735	-3.02124	-2.21558	-3.42407	3.62549
0.0575	0.20142	-3.92761	-2.41699	1.61133	6.74744
0.058	0.70496	-3.02124	-1.10779	-3.7262	-3.92761
0.0585	-5.53894	-1.00708	2.11487	-2.71912	-3.42407
0.059	-1.40991	0.70496	3.32336	1.2085	-3.32336
0.0595	-1.91345	-11.17859	1.40991	-0.70496	4.43115
0.06	-3.42407	-3.42407	2.11487	0.70496	-0.30212
0.0605	-5.94177	-4.43115	3.92761	-0.30212	-0.20142
0.061	3.92761	-0.90637	-4.43115	-8.96301	6.54602
0.0615	-1.40991	-5.74036	-4.83398	-4.83398	4.33044
0.062	2.41699	-8.15735	-0.70496	-1.00708	-3.42407
0.0625	0.10071	-1.00708	-2.01416	9.97009	-6.54602
0.063	2.41699	1.00708	-7.85522	4.83398	1.71204
0.0635	-6.04248	-0.70496	-10.77576	-2.71912	-2.41699
0.064	1.10779	4.02832	0.70496	-3.32336	-0.60425
0.0645	-2.5177	5.23682	-6.2439	-2.31628	-6.84814
0.065	-2.11487	5.84106	-8.8623	-5.43823	-0.90637
0.0655	-0.10071	5.13611	-6.64673	-5.94177	5.43823
0.066	-6.14319	4.43115	-7.85522	-10.0708	-5.43823
0.0665	-4.73328	2.11487	-4.83398	-6.94885	-8.56018
0.067	3.02124	-1.00708	-4.83398	-0.60425	0.90637
0.0675	-6.3446	1.2085	-7.75452	0	1.71204
0.068	-1.10779	1.3092	-1.10779	-6.94885	7.25098
0.0685	-0.60425	-5.94177	-5.43823	-6.94885	5.33752
0.069	4.12903	-7.85522	-3.22266	0.30212	9.36584
0.0695	1.3092	-6.14319	0.70496	-1.91345	5.53894
0.07	-7.35168	-11.48071	-4.12903	-0.60425	3.7262
0.0705	-11.78284	-11.68213	-6.2439	10.17151	-5.0354
0.071	-8.7616	-4.22974	4.93469	10.47363	-10.27222
0.0715	-3.12195	-8.96301	3.32336	2.11487	-7.15027
0.072	-3.92761	-12.18567	-1.71204	-8.7616	-0.40283
0.0725	1.40991	-19.23523	-8.15735	-11.58142	3.22266
0.073	1.3092	-14.80408	-22.05505	-18.22815	10.47363
0.0735	-4.93469	-9.26514	-23.46497	2.81982	9.76868
0.074	-11.07788	-2.71912	-25.47913	13.39417	7.35168
0.0745	-0.10071	-0.90637	-17.82532	30.01099	-7.75452
0.075	-4.53186	-4.83398	-4.73328	29.91028	-12.5885
0.0755	-3.32336	-7.85522	5.53894	18.63098	-10.17151
0.076	-5.53894	-9.46655	10.17151	-5.0354	-0.30212
0.0765	-9.97009	0.70496	17.22107	-17.01965	1.00708
0.077	-11.58142	11.68213	22.86072	-15.71045	-0.20142
0.0775	-7.35168	4.83398	15.81116	-11.88354	-2.61841
0.078	-5.13611	-4.33044	4.93469	-9.56726	0.70496
0.0785	-10.77576	-13.19275	-0.90637	-15.81116	12.5885
0.079	-9.26514	-5.13611	4.12903	-11.58142	5.53894
0.0795	-15.60974	-9.16443	16.81824	-2.11487	5.84106
0.08	-15.81116	-4.53186	17.42249	4.33044	-2.61841
0.0805	-12.48779	0.60425	12.89062	1.91345	0.30212
0.081	-6.94885	3.92761	10.17151	-5.13611	-1.10779
0.0815	-3.22266	-4.12903	7.5531	-13.59558	1.00708
0.082	1.40991	-1.40991	6.54602	-10.87646	0
0.0825	-3.62549	-7.45239	6.2439	-9.16443	-3.12195
0.083	-2.71912	-9.97009	10.27222	1.00708	7.75452
0.0835	-3.22266	-5.84106	13.89771	3.7262	1.71204
0.084	-2.11487	1.40991	7.45239	5.0354	-6.44531
0.0845	8.8623	9.76868	2.5177	-5.94177	-10.17151
0.085	1.61133	10.0708	3.32336	-10.77576	-13.89771
0.0855	3.62549	10.77576	1.91345	-6.3446	-18.22815
0.086	5.33752	13.797	-3.52478	0.30212	-19.33594
0.0865	5.13611	2.01416	-25.88196	2.11487	-15.00549
0.087	5.74036	1.71204	-31.52161	6.3446	-3.12195
0.0875	6.84814	-1.10779	-30.41382	2.11487	-0.10071
0.088	7.75452	-6.14319	-16.61682	1.81274	2.31628
0.0885	-5.53894	2.31628	-4.93469	3.52478	3.32336
0.089	-4.83398	-0.10071	-8.66089	5.13611	-1.61133
0.0895	-3.7262	-3.42407	-2.31628	3.7262	-2.21558
0.09	-0.80566	10.0708	-3.12195	-3.42407	-3.22266
0.0905	-3.32336	0.50354	-0.50354	-6.44531	-5.13611
0.091	-0.90637	-2.11487	-1.71204	-10.0708	-6.14319
0.0915	-3.12195	2.71912	1.10779	-5.33752	-4.83398
0.092	-4.12903	-1.91345	-2.11487	-1.2085	-6.74744
0.0925	-7.15027	-0.10071	2.01416	-3.8269	-9.46655
0.093	-7.45239	0.90637	0.10071	-5.13611	-13.89771
0.0935	-3.7262	2.01416	0.20142	-2.5177	-9.46655
0.094	-1.3092	3.02124	-0.90637	-4.43115	-6.14319
0.0945	-2.81982	3.7262	-2.31628	-1.71204	-2.5177
0.095	-3.62549	-4.12903	-0.70496	-4.12903	-4.53186
0.0955	-7.15027	-0.60425	1.91345	-9.86938	-3.32336
0.096	-0.80566	-2.41699	2.92053	-7.04956	-8.05664
0.0965	-1.40991	-2.31628	-2.71912	-2.5177	-4.63257
0.097	-5.53894	1.51062	0.20142	-5.74036	-5.23682
0.0975	-1.10779	-2.5177	-3.92761	-1.51062	1.51062
0.098	-2.81982	-4.43115	-2.61841	2.31628	3.7262
0.0985	-3.92761	-6.44531	-10.47363	7.75452	4.63257
0.099	-7.65381	2.31628	-14.80408	8.15735	-2.5177
0.0995	-6.14319	-4.02832	-12.18567	7.65381	-8.56018
0.1	-9.56726	-2.92053	-12.18567	8.56018	-10.37292
0.1005	-3.22266	-5.74036	3.8269	8.56018	-3.22266
0.101	-5.13611	-1.3092	-4.02832	3.02124	-0.60425
0.1015	-4.43115	-6.3446	-7.04956	-0.10071	-0.90637
0.102	-2.11487	-11.78284	-6.44531	1.91345	1.91345
0.1025	-3.12195	-5.94177	-10.37292	0.90637	1.91345
0.103	-5.33752	2.11487	-10.47363	-4.22974	0.40283
0.1035	-1.10779	0.70496	-7.85522	-2.92053	-2.31628
0.104	-0.50354	-3.02124	-2.5177	-2.61841	1.00708
0.1045	-3.02124	-4.12903	-3.8269	-2.61841	-2.31628
0.105	-2.5177	-7.5531	-8.66089	0.50354	2.5177
0.1055	-3.42407	-7.85522	-8.96301	8.15735	6.14319
0.106	-2.61841	-0.10071	-9.66797	0.80566	14.80408
0.1065	-4.83398	0.10071	-8.96301	6.74744	-1.61133
0.107	-14.70337	4.43115	1.2085	8.7616	-7.5531
0.1075	-13.99841	3.22266	12.38708	-3.02124	-13.49487
0.108	-4.12903	-4.93469	9.97009	-11.07788	-0.90637
0.1085	0	-3.8269	2.92053	-17.82532	5.23682
0.109	-1.10779	-6.3446	1.00708	-22.25647	3.12195
0.1095	0.10071	-4.73328	-0.50354	-9.26514	-11.78284
0.11	-3.62549	-0.70496	-2.71912	22.86072	-14.50195
0.1105	-3.22266	-3.8269	-3.12195	6.2439	-2.71912
0.111	-3.7262	-6.74744	-5.0354	4.53186	1.40991
0.1115	-0.70496	-1.51062	0.80566	1.71204	-6.94885
0.112	-8.05664	-0.70496	-1.61133	0.90637	1.3092
0.1125	-6.64673	-2.81982	-3.7262	-8.35876	2.31628
0.113	-2.41699	0.70496	2.11487	-6.44531	0.70496
0.1135	-11.58142	1.10779	9.16443	0.90637	-9.36584
0.114	-5.94177	-1.3092	-1.00708	5.53894	-12.38708
0.1145	-7.25098	1.71204	5.53894	1.51062	-11.98425
0.115	-5.74036	-10.37292	-5.74036	0.90637	2.92053
0.1155	-4.02832	-9.36584	-7.65381	-8.56018	3.92761
0.116	0	-7.5531	-10.47363	-4.73328	6.64673
0.1165	2.21558	-5.53894	-11.17859	-11.68213	8.7616
0.117	-7.75452	-6.94885	-4.12903	-9.76868	4.53186
0.1175	-4.02832	-3.12195	-0.70496	3.32336	-2.21558
0.118	-7.75452	0.30212	2.71912	1.3092	-5.0354
0.1185	-4.12903	0.50354	4.33044	4.12903	-9.46655
0.119	-7.95593	-0.50354	-2.5177	10.37292	-9.16443
0.1195	-1.3092	-10.77576	3.92761	4.43115	-6.64673
0.12	-11.58142	-7.85522	-2.11487	-1.71204	-0.10071
0.1205	-6.74744	-6.3446	0.50354	-5.33752	-3.92761
0.121	2.11487	-2.71912	3.42407	2.41699	-2.71912
0.1215	1.3092	-3.22266	-4.02832	-6.04248	-2.5177
0.122	-1.40991	-5.53894	-10.67505	-12.18567	5.13611
0.1225	-4.33044	-1.81274	-3.52478	-0.80566	2.41699
0.123	-4.53186	-4.83398	-9.46655	-1.51062	-5.13611
0.1235	-4.33044	1.00708	-8.25806	1.2085	-1.91345
0.124	0.30212	-2.92053	-2.11487	-3.52478	-0.70496
0.1245	1.3092	-4.33044	-3.92761	-3.12195	-3.7262
0.125	5.23682	-5.74036	-8.25806	3.02124	-7.15027
0.1255	0	-1.10779	-6.44531	9.36584	1.2085
0.126	-3.42407	-6.3446	-16.01257	-0.60425	7.45239
0.1265	-0.10071	0.10071	-6.14319	-7.85522	1.3092
0.127	-5.53894	2.31628	-7.65381	-11.88354	1.81274
0.1275	0.10071	-0.20142	12.89062	-10.47363	-0.90637
0.128	1.10779	-4.63257	15.40833	-5.33752	-4.02832
0.1285	-11.2793	-1.71204	13.29346	8.56018	-3.52478
0.129	-3.52478	-2.92053	11.88354	8.7616	-4.63257
0.1295	-9.76868	-6.64673	-7.5531	8.56018	2.31628
0.13	2.92053	-5.23682	-12.99133	-4.63257	10.0708
0.1305	-3.22266	-14.30054	-11.58142	-20.24231	8.05664
0.131	-1.71204	-5.53894	-7.5531	-13.19275	1.71204
0.1315	-1.81274	0.10071	16.61682	-5.63965	-6.3446
0.132	-8.66089	5.33752	13.99841	-11.58142	-2.41699
0.1325	-7.85522	-0.60425	7.25098	-5.74036	-7.65381
0.133	-3.12195	-1.51062	10.47363	-10.97717	-8.45947
0.1335	-4.63257	3.32336	6.94885	-5.53894	-3.92761
0.134	-0.50354	2.71912	5.43823	-11.07788	-0.50354
0.1345	1.2085	1.81274	2.11487	-10.77576	2.71912
0.135	-7.35168	-1.10779	1.61133	-17.01965	-7.95593
0.1355	-0.90637	-1.00708	-8.96301	-16.41541	-2.5177
0.136	-11.48071	-0.10071	-9.97009	6.44531	-2.11487
0.1365	-7.95593	-3.02124	-11.07788	28.29895	-7.95593
0.137	-14.40125	3.52478	-0.10071	6.94885	-10.77576
0.1375	-10.77576	2.5177	8.45947	10.87646	-3.7262
0.138	-5.33752	-2.31628	3.8269	9.36584	-2.92053
0.1385	-2.71912	0.10071	3.42407	3.02124	2.92053
0.139	-1.00708	1.81274	-0.50354	6.74744	-2.11487
0.1395	1.10779	2.92053	-5.94177	-1.51062	-5.53894
0.14	-4.63257	-1.91345	-3.7262	-1.3092	3.02124
0.1405	-5.94177	-0.10071	-0.10071	4.73328	-2.41699
0.141	-3.52478	-1.61133	-7.5531	-0.10071	-0.50354
0.1415	-5.33752	-0.50354	-11.17859	-0.50354	-0.10071
0.142	-2.11487	1.91345	-2.5177	1.10779	-5.33752
0.1425	-3.02124	-4.22974	-5.13611	-1.81274	-4.12903
0.143	-3.02124	-0.30212	-7.04956	1.2085	-2.92053
0.1435	-0.70496	-4.63257	-7.35168	3.8269	2.31628
0.144	-7.35168	-0.10071	2.41699	-0.70496	-3.62549
0.1445	-3.7262	-3.22266	3.52478	-4.12903	6.64673
0.145	-6.74744	1.10779	2.41699	-3.22266	1.2085
0.1455	-8.96301	0	0.30212	-7.35168	3.22266
0.146	0.50354	-7.5531	-3.42407	-6.14319	5.33752
0.1465	-3.42407	-6.2439	-0.30212	-1.51062	-1.3092
0.147	0.10071	-3.42407	-0.70496	-7.45239	-4.33044
0.1475	-4.33044	-4.22974	2.31628	-9.26514	0.30212
0.148	0.60425	-6.14319	1.3092	-20.04089	10.17151
0.1485	-8.96301	-3.7262	-4.33044	-26.88904	10.77576
0.149	-7.65381	-7.95593	-7.75452	-9.46655	-6.84814
0.1495	-1.10779	-7.45239	-4.53186	12.5885	-13.797
0.15	-0.30212	-0.80566	-2.5177	12.89062	-3.02124
0.1505	-1.91345	-2.41699	-3.92761	8.15735	-1.71204
0.151	-1.10779	-4.12903	1.10779	5.0354	-3.12195
0.1515	2.21558	-1.81274	-5.13611	-3.02124	-1.51062
0.152	2.31628	-0.90637	-3.8269	-11.68213	-4.12903
0.1525	-5.63965	-7.15027	-3.52478	-4.73328	-2.21558
0.153	-0.30212	-7.65381	-5.74036	2.61841	3.22266
0.1535	-0.90637	-3.42407	-8.35876	-0.60425	-4.12903
0.154	-1.81274	-5.94177	-4.33044	4.73328	1.3092
0.1545	-2.11487	-4.12903	-0.30212	2.11487	0.40283
0.155	-1.51062	2.11487	-7.25098	-1.40991	0.50354
0.1555	-1.3092	-4.53186	-2.31628	5.53894	-1.91345
0.156	-3.32336	-5.74036	-0.10071	-7.15027	3.02124
0.1565	-2.92053	-8.7616	-12.38708	-22.86072	7.35168
0.157	-3.12195	-8.35876	-6.14319	-19.23523	-0.30212
0.1575	2.41699	-0.80566	-5.74036	-7.5531	-11.58142
0.158	-1.10779	0.70496	0.70496	16.41541	-9.56726
0.1585	-0.90637	2.61841	10.67505	10.57434	-6.44531
